Problem ID,Problem Name,Title Tags,Plain Tags,Number Solved,Complexity,Class
618G,Combining Slimes,Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations|Probabilities expected values statistics random variables etc,dp|matrices|probabilities,33,0.861,Hard,
618F,Double Knapsack,Constructive algorithms|Two pointers,constructive algorithms|two pointers,219,0.528,Medium,
618E,Robot Arm,Heaps binary search trees segment trees hash tables etc,data structures,326,0.739,Hard,
618D,Hamiltonian Spanning Tree,Dfs and similar|Dynamic programming|Graph matchings König's theorem vertex cover of bipartite graph|Trees,dfs and similar|dp|graph matchings|trees,915,0.756,Hard,
618C,Constellation,Geometry computational geometry|Implementation problems programming technics simulation,geometry|implementation,2453,0.781,Hard,
618B,Guess the Permutation,Constructive algorithms,constructive algorithms,4290,0.433,Medium,
618A,Slime Combining,Implementation problems programming technics simulation,implementation,5309,0.0,Easy,
617E,XOR and Favorite Number,Heaps binary search trees segment trees hash tables etc,data structures,1126,0.739,Hard,
617D,Polyline,Constructive algorithms,constructive algorithms,2678,0.433,Medium,
617C,Watering Flowers,Implementation problems programming technics simulation,implementation,2938,0.0,Easy,
617B,Chocolate,Combinatorics,combinatorics,5567,0.687,Medium,
617A,Elephant,Mathematics including integration differential equations etc,math,10321,0.366,Easy,
616F,Expensive Strings,Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,string suffix structures|strings,137,0.825,Hard,
616E,Sum of Remainders,Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,implementation|math|number theory,548,0.489,Medium,
616D,Longest k-Good Segment,Binary search|Heaps binary search trees segment trees hash tables etc|Two pointers,binary search|data structures|two pointers,1888,0.739,Hard,
616C,The Labyrinth,Dfs and similar,dfs and similar,1859,0.645,Medium,
616B,Dinner with Emma,Games Sprague–Grundy theorem|Greedy algorithms,games|greedy,3856,0.663,Medium,
616A,Comparing Two Long Integers,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,implementation|strings,3645,0.331,Easy,
615E,Hexagons,Binary search|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,binary search|implementation|math,640,0.582,Medium,
615D,Multipliers,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,math|number theory,1564,0.489,Medium,
615C,Running Track,Dynamic programming|Greedy algorithms|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc|Trees,dp|greedy|strings|trees,1394,0.756,Hard,
615B,Longtail Hedgehog,Dynamic programming|Graphs,dp|graphs,2697,0.706,Medium,
615A,Bulbs,Implementation problems programming technics simulation,implementation,7055,0.0,Easy,
614B,Gena's Code,Implementation problems programming technics simulation,implementation,3613,0.0,Easy,
614A,Link/Cut Tree,Brute force,brute force,4238,0.298,Easy,
613E,Puzzle Lover,Dynamic programming|Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,dp|hashing|strings,53,0.714,Medium,
613D,Kingdom and its Cities,Dfs and similar|Divide and Conquer|Graphs|Sortings orderings|Trees,dfs and similar|divide and conquer|graphs|sortings|trees,288,0.857,Hard,
613C,Necklace,Constructive algorithms,constructive algorithms,493,0.433,Medium,
613B,Skills,Binary search|Brute force|Two pointers,binary search|brute force|two pointers,1130,0.582,Medium,
613A,Peter and Snow Blower,Binary search|Geometry computational geometry|Ternary search,binary search|geometry|ternary search,1963,0.781,Hard,
612F,Simba on the Circle,Dynamic programming,dp,73,0.706,Medium,
612E,Square Root of Permutation,Combinatorics|Constructive algorithms|Dfs and similar|Graphs,combinatorics|constructive algorithms|dfs and similar|graphs,404,0.705,Medium,
612D,The Union of k-Segments,Sortings orderings,sortings,1278,0.275,Easy,
612C,Replace To Make Regular Bracket Sequence,Heaps binary search trees segment trees hash tables etc|Parsing expression grammar|Mathematics including integration differential equations etc,data structures|expression parsing|math,2459,0.739,Hard,
612B,HDD is Outdated Technology,Implementation problems programming technics simulation,implementation,3081,0.0,Easy,
612A,The Text Splitting,Brute force|Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,brute force|implementation|strings,3087,0.331,Easy,
611H,New Year  and Forgotten Tree,Constructive algorithms|Graph network flows,constructive algorithms|flows,86,0.877,Hard,
611G,New Year and Cake,Geometry computational geometry|Two pointers,geometry|two pointers,110,0.781,Hard,
611F,New Year and Cleaning,Binary search|Implementation problems programming technics simulation,binary search|implementation,273,0.582,Medium,
611E,New Year and Three Musketeers,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,577,0.739,Hard,
611D,New Year and Ancient Prophecy,Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,hashing|strings,1555,0.714,Medium,
611C,New Year and Domino,Dynamic programming|Implementation problems programming technics simulation,dp|implementation,4117,0.706,Medium,
611B,New Year and Old Property,Brute force|Implementation problems programming technics simulation,brute force|implementation,4895,0.298,Easy,
611A,New Year and Days,Implementation problems programming technics simulation,implementation,7089,0.0,Easy,
610E,Alphabet Permutations,Heaps binary search trees segment trees hash tables etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|strings,253,0.739,Hard,
610D,Vika and Segments,Heaps binary search trees segment trees hash tables etc|Geometry computational geometry|Two pointers,data structures|geometry|two pointers,602,0.781,Hard,
610C,Harmony Analysis,Constructive algorithms,constructive algorithms,2000,0.433,Medium,
610B,Vika and Squares,Implementation problems programming technics simulation,implementation,3809,0.0,Easy,
610A,Pasha and Stick,Combinatorics|Mathematics including integration differential equations etc,combinatorics|math,6081,0.687,Medium,
609F,Frogs and mosquitoes,Heaps binary search trees segment trees hash tables etc,data structures,221,0.739,Hard,
609E,Minimum spanning tree for each edge,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Disjoint set union|Graphs|Trees,data structures|dfs and similar|dsu|graphs|trees,797,0.756,Hard,
609D,Gadgets for dollars and pounds,Binary search|Two pointers,binary search|two pointers,809,0.582,Medium,
609C,Load Balancing,Implementation problems programming technics simulation,implementation,2480,0.0,Easy,
609B,The Best Gift,Implementation problems programming technics simulation,implementation,3813,0.0,Easy,
609A,USB Flash Drives,Greedy algorithms|Implementation problems programming technics simulation|Sortings orderings,greedy|implementation|sortings,4962,0.353,Easy,
608B,Hamming Distance Sum,Combinatorics,combinatorics,3063,0.687,Medium,
608A,Saitama Destroys Hotel,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,5068,0.366,Easy,
607E,Cross Sum,Binary search|Geometry computational geometry,binary search|geometry,49,0.781,Hard,
607D,Power Tree,Heaps binary search trees segment trees hash tables etc,data structures,246,0.739,Hard,
607C,Marbles,Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,hashing|strings,456,0.714,Medium,
607B,Zuma,Dynamic programming,dp,2092,0.706,Medium,
607A,Chain Reaction,Binary search|Dynamic programming,binary search|dp,3294,0.706,Medium,
606B,Testing Robots,Implementation problems programming technics simulation,implementation,2176,0.0,Easy,
606A,Magic Spheres,Implementation problems programming technics simulation,implementation,5154,0.0,Easy,
605E,Intergalaxy Trips,Probabilities expected values statistics random variables etc|Shortest paths on weighted and unweighted graphs,probabilities|shortest paths,206,0.802,Hard,
605D,Board Game,Heaps binary search trees segment trees hash tables etc|Dfs and similar,data structures|dfs and similar,370,0.739,Hard,
605C,Freelancer's Dreams,Geometry computational geometry,geometry,500,0.781,Hard,
605B,Lazy Student,Constructive algorithms|Heaps binary search trees segment trees hash tables etc|Graphs,constructive algorithms|data structures|graphs,1782,0.739,Hard,
605A,Sorting Railway Cars,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,3851,0.433,Medium,
604B,More Cowbell,Binary search|Greedy algorithms,binary search|greedy,3973,0.582,Medium,
604A,Uncowed Forces,Implementation problems programming technics simulation,implementation,5415,0.0,Easy,
603E,Pastoral Oddities,Heaps binary search trees segment trees hash tables etc|Divide and Conquer|Disjoint set union|Trees,data structures|divide and conquer|dsu|trees,107,0.857,Hard,
603D,Ruminations on Ruminants,Geometry computational geometry|Mathematics including integration differential equations etc,geometry|math,166,0.781,Hard,
603C,Lieges of Legendre,Games Sprague–Grundy theorem,games,984,0.663,Medium,
603B,Moodular Arithmetic,Dfs and similar|Disjoint set union|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,dfs and similar|dsu|math|number theory,1490,0.686,Medium,
603A,Alternative Thinking,Dynamic programming|Greedy algorithms,dp|greedy,3509,0.706,Medium,
602B,Approximating a Constant Range,Dynamic programming|Two pointers,dp|two pointers,3722,0.706,Medium,
602A,Two Bases,Implementation problems programming technics simulation,implementation,5265,0.0,Easy,
601E,A Museum Robbery,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,203,0.739,Hard,
601D,Acyclic Organic Compounds,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Disjoint set union|Hashing hashtables|Trees,data structures|dfs and similar|dsu|hashing|trees,467,0.756,Hard,
601C,Kleofáš and the n-thlon,Dynamic programming|Probabilities expected values statistics random variables etc,dp|probabilities,668,0.802,Hard,
601B,Lipshitz Sequence,Heaps binary search trees segment trees hash tables etc,data structures,1160,0.739,Hard,
601A,The Two Routes,Graphs|Shortest paths on weighted and unweighted graphs,graphs|shortest paths,3663,0.732,Hard,
600F,Edge coloring of bipartite graph,Graphs,graphs,93,0.705,Medium,
600E,Lomsat gelral,Dfs and similar|Disjoint set union|Trees,dfs and similar|dsu|trees,631,0.756,Hard,
600D,Area of Two Circles' Intersection,Geometry computational geometry,geometry,565,0.781,Hard,
600C,Make Palindrome,Greedy algorithms,greedy,1657,0.353,Easy,
600B,Queries about less or equal elements,Binary search|Sortings orderings|Two pointers,binary search|sortings|two pointers,3321,0.582,Medium,
600A,Extract Numbers,Implementation problems programming technics simulation,implementation,2004,0.0,Easy,
599E,Sandy and Nuts,Bitmasks|Dynamic programming,bitmasks|dp,223,0.728,Medium,
599D,Spongebob and Squares,Brute force|Mathematics including integration differential equations etc,brute force|math,1700,0.366,Easy,
599C,Day at the Beach,Sortings orderings,sortings,2876,0.275,Easy,
599B,Spongebob and Joke,Implementation problems programming technics simulation,implementation,3140,0.0,Easy,
599A,Patrick and Shopping,Implementation problems programming technics simulation,implementation,7837,0.0,Easy,
598F,Cut Length,Geometry computational geometry,geometry,78,0.781,Hard,
598E,Chocolate Bar,Brute force|Dynamic programming,brute force|dp,1107,0.706,Medium,
598D,Igor In the Museum,Dfs and similar,dfs and similar,2246,0.645,Medium,
598C,Nearest vectors,Geometry computational geometry|Sortings orderings,geometry|sortings,980,0.781,Hard,
598B,Queries on a String,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,implementation|strings,3567,0.331,Easy,
598A,Tricky Sum,Mathematics including integration differential equations etc,math,6211,0.366,Easy,
597C,Subsequences,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,734,0.739,Hard,
597B,Restaurant,Dynamic programming|Greedy algorithms|Sortings orderings,dp|greedy|sortings,1417,0.706,Medium,
597A,Divisibility,Mathematics including integration differential equations etc,math,1999,0.366,Easy,
596E,Wilbur and Strings,Dfs and similar|Dynamic programming|Graphs,dfs and similar|dp|graphs,188,0.706,Medium,
596D,Wilbur and Trees,Dynamic programming|Probabilities expected values statistics random variables etc|Sortings orderings,dp|probabilities|sortings,422,0.802,Hard,
596C,Wilbur and Points,Greedy algorithms|Sortings orderings,greedy|sortings,1717,0.353,Easy,
596B,Wilbur and Array,Greedy algorithms,greedy,5134,0.353,Easy,
596A,Wilbur and Swimming Pool,Implementation problems programming technics simulation,implementation,4709,0.0,Easy,
595B,Pasha and Phone,Binary search|Mathematics including integration differential equations etc,binary search|math,2264,0.582,Medium,
595A,Vitaly and Night,Implementation problems programming technics simulation,implementation,6225,0.0,Easy,
594E,Cutting the Line,Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,string suffix structures|strings,25,0.825,Hard,
594D,REQ,Heaps binary search trees segment trees hash tables etc|Number theory: Euler function GCD divisibility etc,data structures|number theory,347,0.739,Hard,
594C,Edo and Magnets,Brute force|Two pointers,brute force|two pointers,427,0.528,Medium,
594B,Max and Bike,Binary search|Geometry computational geometry,binary search|geometry,320,0.781,Hard,
594A,Warrior and Archer,Games Sprague–Grundy theorem,games,876,0.663,Medium,
593E,Strange Calculation and Cats,Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations,dp|matrices,203,0.861,Hard,
593D,Happy Tree Party,Heaps binary search trees segment trees hash tables etc|Trees,data structures|trees,546,0.756,Hard,
593C,Beautiful Function,Constructive algorithms|Mathematics including integration differential equations etc,constructive algorithms|math,135,0.433,Medium,
593B,Anton and Lines,Geometry computational geometry|Sortings orderings,geometry|sortings,2674,0.781,Hard,
593A,2Char,Brute force,brute force,4035,0.298,Easy,
592E,BCPC,Binary search|Geometry computational geometry|Two pointers,binary search|geometry|two pointers,114,0.781,Hard,
592D,Super M,Dfs and similar|Dynamic programming|Trees,dfs and similar|dp|trees,1047,0.756,Hard,
592C,The Big Race,Mathematics including integration differential equations etc,math,2144,0.366,Easy,
592B,The Monster and the Squirrel,Mathematics including integration differential equations etc,math,5322,0.366,Easy,
592A,PawnChess,Implementation problems programming technics simulation,implementation,4626,0.0,Easy,
591B,Rebranding,Implementation problems programming technics simulation,implementation,4896,0.0,Easy,
591A,Wizards' Duel,Mathematics including integration differential equations etc,math,6645,0.366,Easy,
590E,Birthday,Graph matchings König's theorem vertex cover of bipartite graph|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,graph matchings|strings,115,0.688,Medium,
590D,Top Secret Task,Dynamic programming,dp,540,0.706,Medium,
590C,Three States,Dfs and similar|Graphs|Shortest paths on weighted and unweighted graphs,dfs and similar|graphs|shortest paths,1062,0.732,Hard,
590B,Chip 'n Dale Rescue Rangers,Binary search|Geometry computational geometry|Mathematics including integration differential equations etc,binary search|geometry|math,1131,0.781,Hard,
590A,Median Smoothing,,,2702,0.938,Hard,
589M,Taxi in Berland,Shortest paths on weighted and unweighted graphs,shortest paths,67,0.732,Hard,
589L,Agricultural Archaeology,Greedy algorithms|Mathematics including integration differential equations etc,greedy|math,28,0.366,Easy,
589K,Task processing,Brute force|Mathematics including integration differential equations etc,brute force|math,154,0.366,Easy,
589J,Cleaner Robot,Dfs and similar|Implementation problems programming technics simulation,dfs and similar|implementation,2595,0.645,Medium,
589I,Lottery,Implementation problems programming technics simulation,implementation,3852,0.0,Easy,
589H,Tourist Guide,Dfs and similar,dfs and similar,471,0.645,Medium,
589G,Hiring,Binary search|Heaps binary search trees segment trees hash tables etc,binary search|data structures,964,0.739,Hard,
589F,Gourmet and Banquet,Binary search|Graph network flows|Greedy algorithms,binary search|flows|greedy,1258,0.877,Hard,
589E,Training with Doors,,,33,0.938,Hard,
589D,Boulevard,Brute force|Implementation problems programming technics simulation,brute force|implementation,1464,0.298,Easy,
589C,Polycarp's Masterpiece,Heaps binary search trees segment trees hash tables etc|Divide and Conquer|Dynamic programming,data structures|divide and conquer|dp,177,0.857,Hard,
589B,Layer Cake,Sortings orderings,sortings,1639,0.275,Easy,
589A,Email Aliases,Implementation problems programming technics simulation,implementation,2275,0.0,Easy,
588B,Duff in Love,Mathematics including integration differential equations etc,math,5203,0.366,Easy,
588A,Duff and Meat,Greedy algorithms,greedy,8169,0.353,Easy,
587F,Duff is Mad,Heaps binary search trees segment trees hash tables etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|strings,84,0.739,Hard,
587E,Duff as a Queen,Heaps binary search trees segment trees hash tables etc,data structures,138,0.739,Hard,
587D,Duff in Mafia,2-satisfiability|Binary search,2-sat|binary search,78,0.749,Hard,
587C,Duff in the Army,Heaps binary search trees segment trees hash tables etc|Trees,data structures|trees,1052,0.756,Hard,
587B,Duff in Beach,Dynamic programming,dp,880,0.706,Medium,
587A,Duff and Weight Lifting,Greedy algorithms,greedy,4392,0.353,Easy,
586B,Laurenty and Shop,Implementation problems programming technics simulation,implementation,4085,0.0,Easy,
586A,Alena's Schedule,Implementation problems programming technics simulation,implementation,5887,0.0,Easy,
585F,Digits of Number Pi,Dynamic programming|Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,dp|implementation|strings,66,0.706,Medium,
585E,Present for Vitalik the Philatelist,Combinatorics|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,combinatorics|math|number theory,203,0.687,Medium,
585D,Lizard Era: Beginning,Meet-in-the-middle,meet-in-the-middle,611,0.658,Medium,
585C,Alice Bob Oranges and Apples,Number theory: Euler function GCD divisibility etc,number theory,596,0.489,Medium,
585B,Phillip and Trains,Dfs and similar,dfs and similar,2087,0.645,Medium,
585A,Gennady the Dentist,Brute force|Implementation problems programming technics simulation,brute force|implementation,2826,0.298,Easy,
584E,Anton and Ira,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,782,0.433,Medium,
584D,Dima and Lisa,Number theory: Euler function GCD divisibility etc,number theory,3209,0.489,Medium,
584C,Marina and Vasya,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,3187,0.433,Medium,
584B,Kolya and Tanya,Combinatorics,combinatorics,4765,0.687,Medium,
584A,Olesya and Rodion,Mathematics including integration differential equations etc,math,9070,0.366,Easy,
583B,Robot's Task,Implementation problems programming technics simulation,implementation,5851,0.0,Easy,
583A,Asphalting Roads,Implementation problems programming technics simulation,implementation,7511,0.0,Easy,
582E,Boolean Function,Bitmasks|Dynamic programming|Parsing expression grammar,bitmasks|dp|expression parsing,88,0.728,Medium,
582D,Number of Binominal Coefficients,Dynamic programming|Number theory: Euler function GCD divisibility etc,dp|number theory,69,0.706,Medium,
582C,Superior Periodic Subarrays,Number theory: Euler function GCD divisibility etc,number theory,433,0.489,Medium,
582B,Once Again...,Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations,dp|matrices,1839,0.861,Hard,
582A,GCD Table,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,3642,0.433,Medium,
581F,Zublicanes and Mumocrates,Dynamic programming|Trees|Two pointers,dp|trees|two pointers,314,0.756,Hard,
581E,Kojiro and Furrari,Dynamic programming|Greedy algorithms,dp|greedy,88,0.706,Medium,
581D,Three Logos,Bitmasks|Brute force|Constructive algorithms|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,bitmasks|brute force|constructive algorithms|implementation|math,2089,0.728,Medium,
581C,Developing Skills,Implementation problems programming technics simulation|Sortings orderings,implementation|sortings,4394,0.275,Easy,
581B,Luxurious Houses,Implementation problems programming technics simulation,implementation,5956,0.0,Easy,
581A,Vasya the Hipster,Implementation problems programming technics simulation,implementation,8974,0.0,Easy,
580E,Kefa and Watch,Heaps binary search trees segment trees hash tables etc|Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|hashing|strings,687,0.739,Hard,
580D,Kefa and Dishes,Bitmasks|Dynamic programming,bitmasks|dp,2568,0.728,Medium,
580C,Kefa and Park,Dfs and similar|Trees,dfs and similar|trees,5391,0.756,Hard,
580B,Kefa and Company,Binary search|Sortings orderings|Two pointers,binary search|sortings|two pointers,5593,0.582,Medium,
580A,Kefa and First Steps,Brute force|Dynamic programming|Implementation problems programming technics simulation,brute force|dp|implementation,11981,0.706,Medium,
579B,Finding Team Member,Brute force|Implementation problems programming technics simulation|Sortings orderings,brute force|implementation|sortings,3757,0.298,Easy,
579A,Raising Bacteria,Bitmasks,bitmasks,8029,0.728,Medium,
578F,Mirror Box,Matrix multiplication determinant Cramer's rule systems of linear equations|Trees,matrices|trees,32,0.861,Hard,
578E,Walking!,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,139,0.433,Medium,
578D,LCS Again,Dynamic programming|Greedy algorithms,dp|greedy,256,0.706,Medium,
578C,Weakness and Poorness,Ternary search,ternary search,1618,0.678,Medium,
578B,Or Game,Brute force|Greedy algorithms,brute force|greedy,2879,0.353,Easy,
578A,A Problem about Polyline,Geometry computational geometry|Mathematics including integration differential equations etc,geometry|math,3227,0.781,Hard,
577B,Modulo Sum,Combinatorics|Heaps binary search trees segment trees hash tables etc|Dynamic programming|Two pointers,combinatorics|data structures|dp|two pointers,2888,0.739,Hard,
577A,Multiplication Table,Implementation problems programming technics simulation|Number theory: Euler function GCD divisibility etc,implementation|number theory,8139,0.489,Medium,
576E,Painting Edges,Binary search|Heaps binary search trees segment trees hash tables etc,binary search|data structures,90,0.739,Hard,
576D,Flights for Regular Customers,Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations,dp|matrices,248,0.861,Hard,
576C,Points on Plane,Constructive algorithms|Divide and Conquer|Geometry computational geometry|Greedy algorithms|Sortings orderings,constructive algorithms|divide and conquer|geometry|greedy|sortings,1277,0.857,Hard,
576B,Invariance of Tree,Constructive algorithms|Dfs and similar|Greedy algorithms|Trees,constructive algorithms|dfs and similar|greedy|trees,1034,0.756,Hard,
576A,Vasya and Petya's Game,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,math|number theory,4962,0.489,Medium,
575I,Robots protection,Heaps binary search trees segment trees hash tables etc,data structures,62,0.739,Hard,
575H,Bots,Combinatorics|Number theory: Euler function GCD divisibility etc,combinatorics|number theory,1047,0.687,Medium,
575G,Run for beer,Dfs and similar|Shortest paths on weighted and unweighted graphs,dfs and similar|shortest paths,399,0.732,Hard,
575F,Bulbo,Dynamic programming|Greedy algorithms,dp|greedy,680,0.706,Medium,
575E,Spectator Riots,Geometry computational geometry,geometry,42,0.781,Hard,
575D,Tablecity,Constructive algorithms,constructive algorithms,1417,0.433,Medium,
575C,Party,Bitmasks|Brute force|Graph matchings König's theorem vertex cover of bipartite graph,bitmasks|brute force|graph matchings,110,0.728,Medium,
575B,Bribes,Dfs and similar|Trees,dfs and similar|trees,550,0.756,Hard,
575A,Fibonotci,Mathematics including integration differential equations etc|Matrix multiplication determinant Cramer's rule systems of linear equations,math|matrices,152,0.861,Hard,
574B,Bear and Three Musketeers,Brute force|Dfs and similar|Graphs|Hashing hashtables,brute force|dfs and similar|graphs|hashing,3380,0.714,Medium,
574A,Bear and Elections,Implementation problems programming technics simulation,implementation,5343,0.0,Easy,
573E,Bear and Bowling,Greedy algorithms,greedy,65,0.353,Easy,
573D,Bear and Cavalry,Heaps binary search trees segment trees hash tables etc|Divide and Conquer|Dynamic programming,data structures|divide and conquer|dp,92,0.857,Hard,
573C,Bear and Drawing,Constructive algorithms|Dfs and similar|Trees,constructive algorithms|dfs and similar|trees,606,0.756,Hard,
573B,Bear and Blocks,Binary search|Heaps binary search trees segment trees hash tables etc|Dynamic programming,binary search|data structures|dp,2973,0.739,Hard,
573A,Bear and Poker,Implementation problems programming technics simulation|Number theory: Euler function GCD divisibility etc,implementation|number theory,6288,0.489,Medium,
572B,Order Book,Heaps binary search trees segment trees hash tables etc|Greedy algorithms|Implementation problems programming technics simulation|Sortings orderings,data structures|greedy|implementation|sortings,3427,0.739,Hard,
572A,Arrays,Sortings orderings,sortings,6686,0.275,Easy,
571E,Geometric Progressions,Mathematics including integration differential equations etc,math,30,0.366,Easy,
571D,Campus,Binary search|Heaps binary search trees segment trees hash tables etc|Disjoint set union|Trees,binary search|data structures|dsu|trees,91,0.756,Hard,
571C,CNF 2,Constructive algorithms|Dfs and similar|Graphs|Greedy algorithms,constructive algorithms|dfs and similar|graphs|greedy,339,0.705,Medium,
571B,Minimization,Dynamic programming|Greedy algorithms|Sortings orderings,dp|greedy|sortings,1275,0.706,Medium,
571A,Lengthening Sticks,Combinatorics|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,combinatorics|implementation|math,1224,0.687,Medium,
570E,Pig and Palindromes,Combinatorics|Dynamic programming,combinatorics|dp,808,0.706,Medium,
570D,Tree Requests,Binary search|Constructive algorithms|Dfs and similar|Trees,binary search|constructive algorithms|dfs and similar|trees,1201,0.756,Hard,
570C,Replacement,Constructive algorithms|Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,constructive algorithms|data structures|implementation,4605,0.739,Hard,
570B,Simple Game,Constructive algorithms|Greedy algorithms|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,constructive algorithms|greedy|implementation|math,6371,0.433,Medium,
570A,Elections,Implementation problems programming technics simulation,implementation,7753,0.0,Easy,
569B,Inventory,Greedy algorithms,greedy,4279,0.353,Easy,
569A,Music,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,3272,0.366,Easy,
568E,Longest Increasing Subsequence,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,60,0.739,Hard,
568D,Sign Posts,Brute force|Mathematics including integration differential equations etc,brute force|math,149,0.366,Easy,
568C,New Language,2-satisfiability|Greedy algorithms,2-sat|greedy,279,0.749,Hard,
568B,Symmetric and Transitive,Combinatorics|Dynamic programming|Mathematics including integration differential equations etc,combinatorics|dp|math,1361,0.706,Medium,
568A,Primes or Palindromes?,Brute force|Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,brute force|implementation|math|number theory,2919,0.489,Medium,
567F,Mausoleum,Dynamic programming,dp,261,0.706,Medium,
567E,President and Roads,Dfs and similar|Graphs|Hashing hashtables|Shortest paths on weighted and unweighted graphs,dfs and similar|graphs|hashing|shortest paths,682,0.732,Hard,
567D,One-Dimensional Battle Ships,Binary search|Heaps binary search trees segment trees hash tables etc|Sortings orderings,binary search|data structures|sortings,2243,0.739,Hard,
567C,Geometric Progression,Binary search|Heaps binary search trees segment trees hash tables etc|Dynamic programming,binary search|data structures|dp,3536,0.739,Hard,
567B,Berland National Library,Implementation problems programming technics simulation,implementation,5319,0.0,Easy,
567A,Lineland Mail,Implementation problems programming technics simulation,implementation,7894,0.0,Easy,
566G,Max and Min,Geometry computational geometry,geometry,184,0.781,Hard,
566F,Clique in the Divisibility Graph,Dynamic programming|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,dp|math|number theory,1394,0.706,Medium,
566E,Restoring Map,Bitmasks|Constructive algorithms|Trees,bitmasks|constructive algorithms|trees,39,0.756,Hard,
566D,Restructuring Company,Heaps binary search trees segment trees hash tables etc|Disjoint set union,data structures|dsu,901,0.739,Hard,
566C,Logistical Questions,Dfs and similar|Divide and Conquer|Trees,dfs and similar|divide and conquer|trees,67,0.857,Hard,
566B,Replicating Processes,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,162,0.433,Medium,
566A,Matching Names,Dfs and similar|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc|Trees,dfs and similar|strings|trees,396,0.756,Hard,
560B,Gerald is into Art,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,4865,0.433,Medium,
560A,Currency System in Geraldion,Geometry computational geometry|Implementation problems programming technics simulation|Sortings orderings,geometry|implementation|sortings,7298,0.781,Hard,
559E,Gerald and Path,Dynamic programming|Sortings orderings,dp|sortings,131,0.706,Medium,
559D,Randomizer,Combinatorics|Geometry computational geometry|Probabilities expected values statistics random variables etc,combinatorics|geometry|probabilities,173,0.802,Hard,
559C,Gerald and Giant Chess,Combinatorics|Dynamic programming|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,combinatorics|dp|math|number theory,1634,0.706,Medium,
559B,Equivalent Strings,Divide and Conquer|Hashing hashtables|Sortings orderings|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,divide and conquer|hashing|sortings|strings,3824,0.857,Hard,
559A,Gerald's Hexagon,Brute force|Geometry computational geometry|Mathematics including integration differential equations etc,brute force|geometry|math,5131,0.781,Hard,
